disease	alpha	l1_ratio	pearson_r	mse	r2	model_run	r2_mean	pearson_r_mean	mse_mean
AD	3.2745491628777317	0.99	0.0	22.1320625611756	-8.380306515398672e-08	3.27455-0.99000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.95	0.0	22.607022476973597	-1.2422945250945006e-05	3.27455-0.95000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.95	0.0	23.618080745425416	-5.8759763266857945e-05	3.27455-0.95000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.95	0.0	21.447697780251385	-0.007087533613738595	3.27455-0.95000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.95	0.0	23.642325843523572	-0.00031252776427415085	3.27455-0.95000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.95	0.0	21.96563997268138	-0.0017954129892410187	3.27455-0.95000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.95	0.0	23.16634257117313	-0.0033499934057967806	3.27455-0.95000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.95	0.0	21.51657249576213	-0.0038203864661257025	3.27455-0.95000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.95	0.0	23.09760275331744	-3.297512566002858e-05	3.27455-0.95000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.95	0.0	21.35773117752542	-0.000469847826229719	3.27455-0.95000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.95	0.0	22.1320625611756	-8.380306515398672e-08	3.27455-0.95000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.9	0.0	22.607022476973597	-1.2422945250945006e-05	3.27455-0.90000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.9	0.0	23.618080745425416	-5.8759763266857945e-05	3.27455-0.90000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.9	0.0	21.447697780251385	-0.007087533613738595	3.27455-0.90000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.9	0.0	23.642325843523572	-0.00031252776427415085	3.27455-0.90000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.9	0.0	21.96563997268138	-0.0017954129892410187	3.27455-0.90000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.9	0.0	23.16634257117313	-0.0033499934057967806	3.27455-0.90000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.9	0.0	21.51657249576213	-0.0038203864661257025	3.27455-0.90000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.9	0.0	23.09760275331744	-3.297512566002858e-05	3.27455-0.90000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.9	0.0	21.35773117752542	-0.000469847826229719	3.27455-0.90000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.9	0.0	22.1320625611756	-8.380306515398672e-08	3.27455-0.90000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.7	0.0	22.607022476973597	-1.2422945250945006e-05	3.27455-0.70000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.7	0.0	23.618080745425416	-5.8759763266857945e-05	3.27455-0.70000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.7	0.0	21.447697780251385	-0.007087533613738595	3.27455-0.70000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.7	0.0	23.642325843523572	-0.00031252776427415085	3.27455-0.70000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.7	0.0	21.96563997268138	-0.0017954129892410187	3.27455-0.70000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.7	0.0	23.16634257117313	-0.0033499934057967806	3.27455-0.70000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.7	0.0	21.51657249576213	-0.0038203864661257025	3.27455-0.70000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.7	0.0	23.09760275331744	-3.297512566002858e-05	3.27455-0.70000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.7	0.0	21.35773117752542	-0.000469847826229719	3.27455-0.70000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.7	0.0	22.1320625611756	-8.380306515398672e-08	3.27455-0.70000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.5	0.0	22.607022476973597	-1.2422945250945006e-05	3.27455-0.50000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.5	0.0	23.618080745425416	-5.8759763266857945e-05	3.27455-0.50000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.5	0.0	21.447697780251385	-0.007087533613738595	3.27455-0.50000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.5	0.0	23.642325843523572	-0.00031252776427415085	3.27455-0.50000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.5	0.0	21.96563997268138	-0.0017954129892410187	3.27455-0.50000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.5	0.0	23.16634257117313	-0.0033499934057967806	3.27455-0.50000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.5	0.0	21.51657249576213	-0.0038203864661257025	3.27455-0.50000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.5	0.0	23.09760275331744	-3.297512566002858e-05	3.27455-0.50000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.5	0.0	21.35773117752542	-0.000469847826229719	3.27455-0.50000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.5	0.0	22.1320625611756	-8.380306515398672e-08	3.27455-0.50000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.2	0.0	22.607022476973597	-1.2422945250945006e-05	3.27455-0.20000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.2	0.0	23.618080745425416	-5.8759763266857945e-05	3.27455-0.20000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.2	0.0	21.447697780251385	-0.007087533613738595	3.27455-0.20000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.2	0.0	23.642325843523572	-0.00031252776427415085	3.27455-0.20000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.2	0.0	21.96563997268138	-0.0017954129892410187	3.27455-0.20000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.2	0.0	23.16634257117313	-0.0033499934057967806	3.27455-0.20000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.2	0.0	21.51657249576213	-0.0038203864661257025	3.27455-0.20000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.2	0.0	23.09760275331744	-3.297512566002858e-05	3.27455-0.20000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.2	0.0	21.35773117752542	-0.000469847826229719	3.27455-0.20000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.2	0.0	22.1320625611756	-8.380306515398672e-08	3.27455-0.20000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.1	0.0	22.607022476973597	-1.2422945250945006e-05	3.27455-0.10000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.1	0.0	23.618080745425416	-5.8759763266857945e-05	3.27455-0.10000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.1	0.0	21.447697780251385	-0.007087533613738595	3.27455-0.10000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.1	0.0	23.642325843523572	-0.00031252776427415085	3.27455-0.10000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.1	0.0	21.96563997268138	-0.0017954129892410187	3.27455-0.10000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.1	0.0	23.16634257117313	-0.0033499934057967806	3.27455-0.10000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.1	0.0	21.51657249576213	-0.0038203864661257025	3.27455-0.10000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.1	0.0	23.09760275331744	-3.297512566002858e-05	3.27455-0.10000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.1	0.0	21.35773117752542	-0.000469847826229719	3.27455-0.10000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.1	0.0	22.1320625611756	-8.380306515398672e-08	3.27455-0.10000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.05	0.0	22.607022476973597	-1.2422945250945006e-05	3.27455-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.05	0.0	23.618080745425416	-5.8759763266857945e-05	3.27455-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.05	0.0	21.447697780251385	-0.007087533613738595	3.27455-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.05	0.0	23.642325843523572	-0.00031252776427415085	3.27455-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.05	0.0	21.96563997268138	-0.0017954129892410187	3.27455-0.05000	-0.0016939943702648952	0.0	22.455107837780908
