disease	alpha	l1_ratio	pearson_r	mse	r2	model_run	r2_mean	pearson_r_mean	mse_mean
AD	9.111627561154895	0.9	0.0	26.666021292038735	-0.00307865405662211	9.11163-0.90000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.9	0.0	21.72241205810127	-0.0003681851778190026	9.11163-0.90000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.9	0.0	21.613071007349845	-0.0002217647353699448	9.11163-0.90000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.9	0.0	23.42198485526751	-0.00017568386156141536	9.11163-0.90000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.9	0.0	22.803678156811934	-0.005098647919884902	9.11163-0.90000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.9	0.0	21.458739476557536	-0.0073087894385905905	9.11163-0.90000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.9	0.0	21.88002261331125	-0.0014917929767703786	9.11163-0.90000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.9	0.0	21.68238667436931	-0.0007894952403717514	9.11163-0.90000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.7	0.0	21.84857143662894	-2.4518823797947675e-06	9.11163-0.70000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.7	0.0	21.46754883421948	-0.0004724000423412811	9.11163-0.70000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.7	0.0	26.666021292038735	-0.00307865405662211	9.11163-0.70000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.7	0.0	21.72241205810127	-0.0003681851778190026	9.11163-0.70000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.7	0.0	21.613071007349845	-0.0002217647353699448	9.11163-0.70000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.7	0.0	23.42198485526751	-0.00017568386156141536	9.11163-0.70000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.7	0.0	22.803678156811934	-0.005098647919884902	9.11163-0.70000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.7	0.0	21.458739476557536	-0.0073087894385905905	9.11163-0.70000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.7	0.0	21.88002261331125	-0.0014917929767703786	9.11163-0.70000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.7	0.0	21.68238667436931	-0.0007894952403717514	9.11163-0.70000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.5	0.0	21.84857143662894	-2.4518823797947675e-06	9.11163-0.50000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.5	0.0	21.46754883421948	-0.0004724000423412811	9.11163-0.50000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.5	0.0	26.666021292038735	-0.00307865405662211	9.11163-0.50000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.5	0.0	21.72241205810127	-0.0003681851778190026	9.11163-0.50000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.5	0.0	21.613071007349845	-0.0002217647353699448	9.11163-0.50000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.5	0.0	23.42198485526751	-0.00017568386156141536	9.11163-0.50000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.5	0.0	22.803678156811934	-0.005098647919884902	9.11163-0.50000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.5	0.0	21.458739476557536	-0.0073087894385905905	9.11163-0.50000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.5	0.0	21.88002261331125	-0.0014917929767703786	9.11163-0.50000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.5	0.0	21.68238667436931	-0.0007894952403717514	9.11163-0.50000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.2	0.0	21.84857143662894	-2.4518823797947675e-06	9.11163-0.20000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.2	0.0	21.46754883421948	-0.0004724000423412811	9.11163-0.20000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.2	0.0	26.666021292038735	-0.00307865405662211	9.11163-0.20000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.2	0.0	21.72241205810127	-0.0003681851778190026	9.11163-0.20000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.2	0.0	21.613071007349845	-0.0002217647353699448	9.11163-0.20000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.2	0.0	23.42198485526751	-0.00017568386156141536	9.11163-0.20000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.2	0.0	22.803678156811934	-0.005098647919884902	9.11163-0.20000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.2	0.0	21.458739476557536	-0.0073087894385905905	9.11163-0.20000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.2	0.0	21.88002261331125	-0.0014917929767703786	9.11163-0.20000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.2	0.0	21.68238667436931	-0.0007894952403717514	9.11163-0.20000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.1	0.0	21.84857143662894	-2.4518823797947675e-06	9.11163-0.10000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.1	0.0	21.46754883421948	-0.0004724000423412811	9.11163-0.10000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.1	0.0	26.666021292038735	-0.00307865405662211	9.11163-0.10000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.1	0.0	21.72241205810127	-0.0003681851778190026	9.11163-0.10000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.1	0.0	21.613071007349845	-0.0002217647353699448	9.11163-0.10000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.1	0.0	23.42198485526751	-0.00017568386156141536	9.11163-0.10000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.1	0.0	22.803678156811934	-0.005098647919884902	9.11163-0.10000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.1	0.0	21.458739476557536	-0.0073087894385905905	9.11163-0.10000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.1	0.0	21.88002261331125	-0.0014917929767703786	9.11163-0.10000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.1	0.0	21.68238667436931	-0.0007894952403717514	9.11163-0.10000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.05	0.0	21.84857143662894	-2.4518823797947675e-06	9.11163-0.05000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.05	0.0	21.46754883421948	-0.0004724000423412811	9.11163-0.05000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.05	0.0	26.666021292038735	-0.00307865405662211	9.11163-0.05000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.05	0.0	21.72241205810127	-0.0003681851778190026	9.11163-0.05000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.05	0.0	21.613071007349845	-0.0002217647353699448	9.11163-0.05000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.05	0.0	23.42198485526751	-0.00017568386156141536	9.11163-0.05000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.05	0.0	22.803678156811934	-0.005098647919884902	9.11163-0.05000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.05	0.0	21.458739476557536	-0.0073087894385905905	9.11163-0.05000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.05	0.0	21.88002261331125	-0.0014917929767703786	9.11163-0.05000	-0.001900786533171117	0.0	22.456443640465583
